rankings,contests,ani_num
2354,17,-1
2355,4,0
2356,36,0
2357,36,0
2358,34,1
2359,132,3
2360,61,-1
2361,24,1
2362,68,0
2363,21,0
2364,218,3
2365,37,0
2366,24,-1
2367,209,3
2368,5,0
2369,64,0
2370,35,-1
2371,21,1
2372,33,0
2373,14,-1
2374,70,-1
2375,24,-1
2551,115,-1
2552,65,0
2553,6,0
2554,135,0
2555,15,-1
2556,86,0
2557,37,1
2558,75,0
2559,16,-1
2560,32,2
2561,142,1
2562,48,-1
2563,27,-1
2564,13,0
2565,40,2
2566,42,-1
2567,40,0
2568,35,0
2569,167,0
2570,96,1
2571,133,0
2572,33,0
2573,9,-1
2574,20,-1
2575,69,0
2626,58,0
2627,4,0
2628,27,-1
2629,147,0
2630,28,-1
2631,178,0
2632,113,3
2633,15,-1
2634,42,0
2635,81,0
2636,9,-1
2637,81,0
2638,12,0
2639,122,0
2640,18,4
2641,106,0
2642,30,-1
2643,13,0
2644,14,0
2645,170,0
2646,39,-1
2647,56,3
2648,48,0
2649,109,0
2650,51,-1
2651,14,0
2652,39,2
2653,65,0
2654,50,0
2655,10,-1
2656,28,0
2657,36,-1
2658,43,0
2659,21,-1
2660,37,0
2661,18,1
2662,15,-1
2663,12,0
2664,117,2
2665,5,-1
2666,125,3
2667,60,1
2668,57,-1
2669,29,0
2670,36,0
2671,36,-1
2672,5,-1
2673,21,0
2674,53,3
2675,74,0
2701,148,0
2702,67,0
2703,83,0
2704,9,-1
2705,19,0
2706,62,1
2707,33,3
2708,47,-1
2709,156,0
2710,52,2
2711,13,3
2712,28,-1
2713,35,0
2714,113,0
2715,28,0
2716,23,0
2717,19,-1
2718,34,0
2719,14,-1
2720,54,1
2721,10,-1
2722,12,-1
2723,7,-1
2724,15,0
2725,16,-1
2726,41,-1
2727,30,-1
2728,13,0
2729,116,0
2730,22,4
2731,35,-1
2732,7,0
2733,41,-1
2734,26,0
2735,12,0
2736,11,-1
2737,34,0
2738,88,1
2739,41,-1
2740,19,0
2741,29,-1
2742,139,-1
2743,34,-1
2744,369,0
2745,44,0
2746,92,0
2747,28,1
2748,34,-1
2749,25,4
2750,38,-1
2776,29,2
2777,49,-1
2778,37,0
2779,68,0
2780,136,0
2781,32,-1
2782,44,-1
2783,6,-1
2784,53,2
2785,93,3
2786,40,0
2787,65,0
2788,33,0
2789,52,0
2790,48,0
2791,20,-1
2792,8,-1
2793,45,0
2794,58,2
2795,204,0
2796,13,0
2797,58,0
2798,20,0
2799,74,-1
2800,54,1
2826,42,0
2827,21,-1
2828,20,-1
2829,35,0
2830,103,0
2831,23,-1
2832,122,0
2833,34,0
2834,19,2
2835,64,-1
2836,337,-1
2837,18,-1
2838,115,1
2839,42,0
2840,30,0
2841,22,-1
